prompt,script
Create a new directory test in the current directory,"#!/bin/bash
mkdir test"
Rename file a.txt to b.json in the current directory,"#!/bin/bash
mv a.txt b.json"
Append the current user to users.txt in the current directory,"#!/bin/bash
whoami >> users.txt"
"Add ""Line of text here"" on top of each *.py files under current directory","#!/bin/bash
find . -name \*.py -print0 | xargs -0 sed -i '1 i Line of text here'"
Count all directories under current directory,"#!/bin/bash
find . -mindepth 1 -type d | wc -l"
"Count all files under ""dir"" in the current directory","#!/bin/bash
find dir -type f | wc -l"
Calculate md5 sum of empty string,"#!/bin/bash
echo -n | md5sum"
Print the process ids of top 5 cpu consumers,"#!/bin/bash

ps -eo pid,%cpu --sort=-%cpu | awk 'NR>1{print $1}' | head -5"
Print the process ids of top 5 memory consumers,"#!/bin/bash
ps -eo pid,%mem --sort=-%mem | awk 'NR>1{print $1}' | head -5"
Fetch the memory currently 'available' in the system,"#!/bin/bash
free -h | grep Mem: | awk '{print $7}'"
Fetch total memory present in the system,"#!/bin/bash
free -h | grep Mem: | awk '{print $2}'"
Copy file test.txt from directory dir1 to dir2 in the current directory,"#!/bin/bash
cp dir1/test.txt dir2"
Fetch total memory used in the system,"#!/bin/bash
free -h | grep Mem: | awk '{print $3}'"
Fetch remaining space on device overlay,"#!/bin/bash
df -h | grep overlay | awk '{print $4}'"
Print total space used on device overlay,"#!/bin/bash
df -h | grep overlay | awk '{print $3}'"
Check available inodes on overlay file system,"#!/bin/bash
df -ih | grep overlay | awk '{print $4}'"
Check used inodes on overlay file system,"#!/bin/bash
df -ih | grep overlay | awk '{print $3}'"
Fetch the top 5 largest files in the current directory,"#!/bin/bash
find . -type f -exec ls -lSh {} + | head -n 5"
Change the working directory to /var,"#!/bin/bash
cd /var"
Count the number of lines in a.txt file in current directory,"#!/bin/bash
cat a.txt | wc -l"
Count the number of files named file1 in the current directory,"#!/bin/bash

find . -type f -name 'file1' | wc -l"
Count number of .txt files present in directory /app/dir,"#!/bin/bash

find /app/dir -type f -name '*.txt' | wc -l"
